SampleN,Beta1,SE1,Beta2,SE2,Beta3,SE3,Beta4,SE4
1,0.854687,0.008385,0.811818,0.009385,0.829426,0.008936,0.760514,0.013758
2,0.857742,0.008362,0.811800,0.009385,0.828780,0.008851,0.766147,0.013798
3,0.854961,0.008454,0.811835,0.009386,0.832453,0.008984,0.765775,0.013677
4,0.853887,0.008474,0.811748,0.009385,0.830533,0.008947,0.761162,0.013724
5,0.857304,0.008421,0.811838,0.009385,0.826578,0.009016,0.761955,0.013735
6,0.855657,0.008455,0.811805,0.009385,0.825446,0.009029,0.767632,0.013823
7,0.857774,0.008415,0.811783,0.009385,0.824109,0.008969,0.759453,0.014012
8,0.855098,0.008382,0.811706,0.009385,0.829347,0.008973,0.764060,0.013718
9,0.857166,0.008425,0.811854,0.009385,0.831717,0.008902,0.759043,0.013751
10,0.853655,0.008474,0.811805,0.009385,0.828132,0.008975,0.762542,0.013696
11,0.855009,0.008419,0.811775,0.009385,0.825258,0.009008,0.754570,0.014001
12,0.854268,0.008418,0.811825,0.009385,0.830047,0.008896,0.761583,0.013672
13,0.851784,0.008476,0.811788,0.009384,0.823748,0.009033,0.765138,0.013714
14,0.857869,0.008386,0.811800,0.009385,0.820528,0.009128,0.763766,0.013869
15,0.856936,0.008399,0.811819,0.009385,0.824251,0.009083,0.759395,0.013906
16,0.851917,0.008492,0.811747,0.009386,0.827088,0.009029,0.767700,0.013813
17,0.852550,0.008478,0.811761,0.009386,0.814075,0.009135,0.762523,0.013862
18,0.850276,0.008534,0.811740,0.009385,0.826221,0.008920,0.769443,0.013752
19,0.855266,0.008407,0.811694,0.009385,0.832638,0.008860,0.769481,0.013676
20,0.856385,0.008357,0.811782,0.009386,0.828077,0.008959,0.765810,0.013604
21,0.851098,0.008494,0.811800,0.009386,0.827143,0.008967,0.771828,0.013830
22,0.857840,0.008386,0.811748,0.009385,0.822305,0.009001,0.773194,0.013665
23,0.854056,0.008430,0.811801,0.009385,0.827824,0.008932,0.762167,0.013711
24,0.853372,0.008423,0.811842,0.009385,0.829311,0.009004,0.769353,0.013639
25,0.852334,0.008439,0.811796,0.009385,0.827840,0.009074,0.774030,0.013603
26,0.857909,0.008359,0.811757,0.009385,0.829522,0.008922,0.761075,0.013737
27,0.856756,0.008324,0.811824,0.009385,0.831496,0.008982,0.761665,0.013872
28,0.852352,0.008483,0.811721,0.009386,0.828608,0.008951,0.757905,0.013826
29,0.856659,0.008441,0.811829,0.009385,0.823964,0.009041,0.771469,0.013747
30,0.858013,0.008378,0.811772,0.009385,0.833166,0.008870,0.771426,0.013512
31,0.858078,0.008404,0.811841,0.009385,0.831723,0.008914,0.770568,0.013780
32,0.858058,0.008366,0.811824,0.009385,0.830763,0.008988,0.762894,0.013947
33,0.852989,0.008537,0.811821,0.009385,0.825302,0.008944,0.769004,0.013684
34,0.849484,0.008453,0.811740,0.009385,0.820276,0.009102,0.774335,0.013645
35,0.853856,0.008441,0.811765,0.009384,0.822624,0.009133,0.769787,0.013691
36,0.861318,0.008389,0.811778,0.009386,0.817524,0.009047,0.781949,0.013569
37,0.854430,0.008415,0.811780,0.009385,0.826898,0.008844,0.754634,0.014089
38,0.853674,0.008476,0.811786,0.009385,0.832263,0.008829,0.760814,0.013751
39,0.853425,0.008462,0.811765,0.009385,0.826990,0.009031,0.767369,0.013741
40,0.858551,0.008311,0.811821,0.009384,0.827981,0.008959,0.769609,0.013737
41,0.855969,0.008435,0.811760,0.009385,0.832854,0.008917,0.763316,0.013746
42,0.853338,0.008386,0.811831,0.009385,0.818835,0.009280,0.776381,0.013562
43,0.853745,0.008450,0.811884,0.009386,0.824729,0.009031,0.766886,0.013691
44,0.853724,0.008448,0.811772,0.009385,0.833916,0.008991,0.771869,0.013652
45,0.858649,0.008388,0.811826,0.009385,0.824135,0.009182,0.754691,0.014055
46,0.850826,0.008490,0.811779,0.009384,0.830104,0.008912,0.761498,0.013788
47,0.850254,0.008494,0.811759,0.009386,0.824480,0.008938,0.767819,0.013681
48,0.855792,0.008432,0.811888,0.009386,0.825426,0.009105,0.761985,0.013894
49,0.857432,0.008388,0.811768,0.009385,0.822928,0.009028,0.761432,0.013688
50,0.853490,0.008463,0.811810,0.009385,0.826797,0.008964,0.759879,0.013960
51,0.853897,0.008443,0.811860,0.009386,0.833666,0.008953,0.765401,0.013851
52,0.852473,0.008486,0.811744,0.009384,0.832535,0.008787,0.752753,0.013852
53,0.858319,0.008382,0.811836,0.009385,0.824712,0.008989,0.768320,0.013776
54,0.861540,0.008271,0.811765,0.009386,0.829319,0.008865,0.756242,0.013734
55,0.854737,0.008503,0.811814,0.009384,0.826976,0.009058,0.765227,0.013819
56,0.853201,0.008449,0.811801,0.009385,0.825561,0.009016,0.768631,0.013738
57,0.846862,0.008651,0.811745,0.009385,0.830465,0.008878,0.766163,0.013609
58,0.853968,0.008492,0.811765,0.009385,0.826117,0.008989,0.762216,0.013900
59,0.850665,0.008493,0.811750,0.009385,0.825580,0.008946,0.772016,0.013605
60,0.855725,0.008348,0.811807,0.009385,0.827226,0.009041,0.761923,0.013766
61,0.854355,0.008402,0.811766,0.009385,0.823329,0.009190,0.765304,0.013740
62,0.852831,0.008463,0.811751,0.009386,0.829790,0.008916,0.776210,0.013575
63,0.861378,0.008279,0.811750,0.009385,0.828956,0.008987,0.766161,0.013667
64,0.855216,0.008465,0.811830,0.009385,0.826173,0.009050,0.765895,0.013694
65,0.857292,0.008370,0.811791,0.009384,0.824726,0.009079,0.768753,0.013644
66,0.852197,0.008493,0.811722,0.009384,0.828091,0.009006,0.771913,0.013693
67,0.854329,0.008503,0.811756,0.009385,0.832747,0.008871,0.764662,0.013860
68,0.853367,0.008422,0.811909,0.009386,0.822051,0.009073,0.769040,0.013636
69,0.849940,0.008554,0.811792,0.009385,0.824463,0.008952,0.769606,0.013562
70,0.853811,0.008402,0.811783,0.009385,0.828381,0.008940,0.771942,0.013710
71,0.858263,0.008399,0.811737,0.009385,0.827615,0.009019,0.764722,0.013686
72,0.856305,0.008417,0.811802,0.009385,0.828597,0.009117,0.766796,0.013655
73,0.854193,0.008391,0.811750,0.009385,0.832820,0.008889,0.761242,0.013808
74,0.856813,0.008469,0.811839,0.009386,0.830651,0.008887,0.762123,0.013961
75,0.855664,0.008414,0.811747,0.009384,0.817997,0.009234,0.772134,0.013828
76,0.852540,0.008500,0.811818,0.009384,0.827010,0.008917,0.759030,0.013910
77,0.852496,0.008468,0.811757,0.009385,0.831009,0.008946,0.772113,0.013814
78,0.851152,0.008484,0.811775,0.009385,0.825194,0.008985,0.768027,0.013771
79,0.848774,0.008585,0.811828,0.009385,0.826695,0.008875,0.766169,0.013605
80,0.854969,0.008435,0.811749,0.009385,0.818232,0.009229,0.765192,0.013738
81,0.856733,0.008339,0.811715,0.009384,0.821184,0.009068,0.761659,0.013836
82,0.853457,0.008440,0.811784,0.009385,0.826033,0.008920,0.766784,0.013946
83,0.855215,0.008367,0.811760,0.009385,0.826891,0.009097,0.767613,0.013774
84,0.859388,0.008327,0.811774,0.009386,0.821162,0.008989,0.767825,0.013646
85,0.856179,0.008403,0.811766,0.009384,0.829396,0.008830,0.769055,0.013682
86,0.859988,0.008384,0.811744,0.009385,0.823879,0.009040,0.763510,0.013786
87,0.859613,0.008279,0.811734,0.009385,0.830932,0.008903,0.767173,0.013669
88,0.856838,0.008393,0.811799,0.009386,0.827002,0.008941,0.773626,0.013546
89,0.852519,0.008506,0.811755,0.009385,0.829324,0.008964,0.760057,0.013788
90,0.856745,0.008386,0.811771,0.009386,0.829497,0.008896,0.777801,0.013452
91,0.853637,0.008521,0.811730,0.009386,0.830634,0.008930,0.766959,0.013610
92,0.858191,0.008400,0.811796,0.009385,0.832452,0.008862,0.763898,0.013752
93,0.856535,0.008371,0.811770,0.009385,0.830579,0.008927,0.760768,0.013828
94,0.856188,0.008442,0.811807,0.009384,0.832457,0.008848,0.762536,0.013863
95,0.854743,0.008405,0.811763,0.009385,0.822864,0.009102,0.764810,0.013750
96,0.856330,0.008412,0.811804,0.009385,0.826644,0.008933,0.756648,0.014022
97,0.853175,0.008432,0.811782,0.009385,0.829562,0.009039,0.772126,0.013560
98,0.851562,0.008492,0.811803,0.009385,0.832813,0.008878,0.767455,0.013682
99,0.856402,0.008388,0.811796,0.009385,0.822988,0.009036,0.758711,0.013907
100,0.854340,0.008437,0.811748,0.009385,0.835061,0.008739,0.759682,0.013932
101,0.859712,0.008344,0.811824,0.009385,0.827246,0.008964,0.759226,0.013833
102,0.849440,0.008554,0.811766,0.009385,0.826649,0.008951,0.764488,0.013800
103,0.854772,0.008442,0.811807,0.009386,0.827343,0.009099,0.771705,0.013666
104,0.852489,0.008473,0.811742,0.009386,0.827487,0.009013,0.766399,0.013553
105,0.855518,0.008327,0.811777,0.009386,0.830322,0.008886,0.771320,0.013652
106,0.852374,0.008474,0.811784,0.009386,0.832640,0.008838,0.756694,0.013954
107,0.851424,0.008430,0.811751,0.009386,0.828036,0.009037,0.763609,0.013937
108,0.856591,0.008475,0.811810,0.009385,0.832737,0.008782,0.760136,0.013755
109,0.860049,0.008332,0.811748,0.009385,0.829186,0.008854,0.766021,0.013803
110,0.858347,0.008358,0.811796,0.009385,0.827261,0.008907,0.764463,0.013763
111,0.855862,0.008383,0.811707,0.009386,0.825374,0.009114,0.776272,0.013693
112,0.850722,0.008500,0.811839,0.009386,0.828256,0.008980,0.759167,0.013912
113,0.853001,0.008429,0.811788,0.009384,0.831649,0.008911,0.769635,0.013788
114,0.858249,0.008341,0.811768,0.009384,0.820994,0.008958,0.764979,0.013895
115,0.851747,0.008502,0.811712,0.009385,0.831807,0.008890,0.755276,0.013898
116,0.856426,0.008341,0.811811,0.009384,0.823096,0.008976,0.767165,0.013770
117,0.852513,0.008540,0.811747,0.009384,0.825725,0.009051,0.766892,0.013725
118,0.858085,0.008378,0.811806,0.009386,0.830739,0.008880,0.764660,0.013725
119,0.855124,0.008465,0.811750,0.009384,0.830205,0.008948,0.774261,0.013634
120,0.854615,0.008422,0.811729,0.009385,0.822544,0.009018,0.768404,0.013786
121,0.854168,0.008453,0.811757,0.009385,0.825886,0.009145,0.758633,0.013884
122,0.852348,0.008491,0.811713,0.009386,0.829946,0.008980,0.768793,0.013663
123,0.852480,0.008485,0.811804,0.009385,0.831661,0.008824,0.762261,0.013619
124,0.860114,0.008327,0.811785,0.009385,0.826435,0.009025,0.760296,0.013931
125,0.852907,0.008415,0.811815,0.009385,0.827714,0.009019,0.762586,0.013831
126,0.855792,0.008464,0.811749,0.009385,0.831006,0.008942,0.770806,0.013684
127,0.857688,0.008376,0.811740,0.009384,0.829994,0.008896,0.768043,0.013556
128,0.853649,0.008481,0.811800,0.009384,0.825034,0.009068,0.774922,0.013553
129,0.859359,0.008415,0.811816,0.009386,0.825578,0.009099,0.768710,0.013635
130,0.853712,0.008457,0.811738,0.009386,0.829351,0.008970,0.763483,0.013819
131,0.851123,0.008493,0.811785,0.009385,0.826488,0.008868,0.760953,0.013781
132,0.852234,0.008503,0.811862,0.009384,0.837184,0.008713,0.767226,0.013848
133,0.853170,0.008464,0.811834,0.009385,0.829152,0.008954,0.766163,0.013620
134,0.854926,0.008436,0.811757,0.009384,0.827683,0.008932,0.770689,0.013704
135,0.852691,0.008509,0.811791,0.009385,0.829854,0.008913,0.761907,0.013594
136,0.852577,0.008539,0.811733,0.009385,0.829404,0.008980,0.768656,0.013561
137,0.856827,0.008409,0.811789,0.009384,0.822536,0.009019,0.761461,0.013761
138,0.854335,0.008334,0.811726,0.009385,0.826443,0.008992,0.764555,0.013791
139,0.857367,0.008318,0.811831,0.009385,0.824490,0.008945,0.765431,0.013671
140,0.856624,0.008289,0.811848,0.009385,0.837438,0.008832,0.773525,0.013440
141,0.857416,0.008320,0.811760,0.009385,0.829532,0.008896,0.769458,0.013949
142,0.851101,0.008489,0.811787,0.009385,0.821166,0.009181,0.769400,0.013715
143,0.851850,0.008508,0.811832,0.009385,0.820866,0.009092,0.769176,0.013683
144,0.853526,0.008393,0.811848,0.009385,0.829402,0.008929,0.771068,0.013581
145,0.855136,0.008431,0.811784,0.009386,0.828966,0.008999,0.767297,0.013747
146,0.855918,0.008386,0.811833,0.009386,0.824045,0.009021,0.775192,0.013698
147,0.856692,0.008342,0.811791,0.009385,0.830097,0.008796,0.770070,0.013861
148,0.854796,0.008464,0.811755,0.009385,0.824898,0.009056,0.773818,0.013567
149,0.853383,0.008477,0.811805,0.009385,0.829076,0.008835,0.771603,0.013655
150,0.854562,0.008490,0.811758,0.009386,0.823623,0.008893,0.768700,0.013852
151,0.856539,0.008378,0.811806,0.009385,0.832645,0.008909,0.761421,0.013739
152,0.851918,0.008451,0.811819,0.009385,0.825395,0.009118,0.754734,0.014138
153,0.854352,0.008466,0.811818,0.009385,0.829642,0.008967,0.775938,0.013587
154,0.854622,0.008429,0.811701,0.009385,0.830080,0.008857,0.758721,0.014006
155,0.854454,0.008458,0.811773,0.009384,0.822475,0.009042,0.753024,0.013972
156,0.853707,0.008435,0.811750,0.009384,0.825644,0.009025,0.763522,0.013737
157,0.857107,0.008338,0.811781,0.009385,0.827489,0.008914,0.762880,0.013674
158,0.853627,0.008484,0.811738,0.009385,0.822243,0.009051,0.771291,0.013643
159,0.848555,0.008502,0.811792,0.009385,0.828867,0.008980,0.769068,0.013862
160,0.850613,0.008503,0.811798,0.009385,0.832865,0.008920,0.768538,0.013643
161,0.856376,0.008477,0.811789,0.009385,0.824150,0.008960,0.761951,0.013709
162,0.855679,0.008458,0.811821,0.009385,0.817836,0.009180,0.757570,0.014068
163,0.857497,0.008378,0.811776,0.009384,0.823467,0.009099,0.765141,0.013957
164,0.857345,0.008383,0.811756,0.009385,0.824302,0.009055,0.775847,0.013587
165,0.848621,0.008537,0.811761,0.009385,0.828158,0.008952,0.763991,0.013717
166,0.855616,0.008364,0.811872,0.009385,0.832885,0.008896,0.763923,0.013786
167,0.859208,0.008341,0.811752,0.009384,0.826209,0.009084,0.770459,0.013737
168,0.856612,0.008433,0.811791,0.009385,0.826495,0.009032,0.771925,0.013879
169,0.852964,0.008451,0.811773,0.009385,0.827476,0.009025,0.759441,0.014033
170,0.855836,0.008417,0.811776,0.009385,0.828381,0.008957,0.759283,0.013731
171,0.854492,0.008442,0.811846,0.009385,0.828283,0.008869,0.768677,0.013772
172,0.854962,0.008423,0.811776,0.009386,0.826333,0.009025,0.760520,0.013754
173,0.854636,0.008430,0.811774,0.009385,0.832675,0.008989,0.767674,0.013705
174,0.856712,0.008400,0.811774,0.009385,0.825434,0.008990,0.770288,0.013508
175,0.856989,0.008307,0.811791,0.009385,0.823903,0.008997,0.763681,0.013769
176,0.857293,0.008388,0.811765,0.009385,0.823156,0.008975,0.762227,0.013802
177,0.854618,0.008413,0.811815,0.009385,0.825825,0.009071,0.756300,0.013823
178,0.855103,0.008393,0.811802,0.009386,0.826584,0.008985,0.778028,0.013420
179,0.855286,0.008419,0.811764,0.009385,0.830981,0.008956,0.765675,0.013618
180,0.851743,0.008514,0.811761,0.009385,0.823430,0.009115,0.761029,0.013821
181,0.854871,0.008426,0.811803,0.009384,0.823859,0.009045,0.764200,0.013872
182,0.854271,0.008392,0.811727,0.009385,0.831161,0.008937,0.768318,0.013619
183,0.856351,0.008289,0.811773,0.009385,0.826251,0.008951,0.764909,0.013711
184,0.858545,0.008302,0.811743,0.009385,0.819753,0.009128,0.770211,0.013679
185,0.862263,0.008298,0.811760,0.009385,0.820477,0.009138,0.766408,0.013732
186,0.853297,0.008426,0.811789,0.009385,0.826925,0.009066,0.760650,0.013973
187,0.852547,0.008424,0.811833,0.009386,0.819212,0.009051,0.768978,0.013468
188,0.859510,0.008297,0.811818,0.009385,0.820575,0.009049,0.764276,0.013656
189,0.857745,0.008401,0.811813,0.009385,0.820611,0.008977,0.762623,0.014002
190,0.854625,0.008495,0.811758,0.009386,0.825951,0.009038,0.769594,0.013548
191,0.854892,0.008407,0.811744,0.009385,0.821674,0.009058,0.763660,0.013769
192,0.855732,0.008383,0.811765,0.009385,0.830451,0.008981,0.778114,0.013276
193,0.853619,0.008397,0.811677,0.009385,0.825620,0.008910,0.762681,0.013634
194,0.854410,0.008437,0.811799,0.009386,0.826942,0.009001,0.760461,0.013768
195,0.852694,0.008435,0.811784,0.009386,0.826131,0.008888,0.763592,0.013833
196,0.854649,0.008420,0.811749,0.009385,0.835414,0.008766,0.763308,0.013924
197,0.859285,0.008289,0.811742,0.009385,0.824419,0.009136,0.768829,0.013556
198,0.853698,0.008439,0.811840,0.009386,0.813850,0.009275,0.758193,0.013585
199,0.855329,0.008447,0.811798,0.009385,0.833382,0.008822,0.755441,0.013935
200,0.852012,0.008530,0.811800,0.009385,0.830363,0.008934,0.765737,0.013748
201,0.855901,0.008363,0.811782,0.009384,0.834135,0.008805,0.755091,0.013792
202,0.853245,0.008393,0.811724,0.009385,0.822550,0.009162,0.766595,0.013741
203,0.853239,0.008487,0.811732,0.009384,0.834184,0.008776,0.756957,0.013690
204,0.853651,0.008470,0.811741,0.009385,0.816341,0.009114,0.767855,0.013678
205,0.858072,0.008282,0.811757,0.009385,0.827472,0.008979,0.765795,0.013782
206,0.855057,0.008466,0.811756,0.009384,0.830738,0.008940,0.766709,0.013653
207,0.857150,0.008372,0.811661,0.009384,0.822493,0.009100,0.764600,0.013699
208,0.852111,0.008443,0.811747,0.009385,0.823893,0.009003,0.766859,0.013771
209,0.852494,0.008415,0.811803,0.009385,0.819313,0.009147,0.761083,0.013945
210,0.854507,0.008419,0.811780,0.009385,0.826454,0.008918,0.769032,0.013679
211,0.854058,0.008430,0.811801,0.009384,0.829916,0.009035,0.750295,0.013934
212,0.853631,0.008457,0.811806,0.009385,0.821806,0.009098,0.770173,0.013687
213,0.857142,0.008430,0.811774,0.009385,0.832819,0.008943,0.766518,0.013763
214,0.859368,0.008333,0.811757,0.009384,0.825630,0.008953,0.774428,0.013493
215,0.854758,0.008404,0.811771,0.009385,0.824191,0.008951,0.768771,0.013703
216,0.852317,0.008426,0.811806,0.009386,0.830574,0.008922,0.761948,0.013706
217,0.855993,0.008344,0.811768,0.009385,0.831173,0.008802,0.754787,0.013937
218,0.851463,0.008503,0.811777,0.009385,0.826902,0.009004,0.764958,0.013960
219,0.857775,0.008387,0.811812,0.009385,0.822165,0.009023,0.761403,0.013826
220,0.853269,0.008452,0.811782,0.009385,0.827526,0.008833,0.748048,0.014001
221,0.858146,0.008423,0.811854,0.009385,0.827128,0.009013,0.771620,0.013655
222,0.854113,0.008473,0.811776,0.009385,0.827180,0.008918,0.772882,0.013804
223,0.851168,0.008555,0.811812,0.009384,0.825473,0.009047,0.759524,0.014020
224,0.853852,0.008465,0.811835,0.009385,0.825923,0.009030,0.767113,0.013657
225,0.860016,0.008306,0.811759,0.009385,0.825963,0.009161,0.762793,0.013865
226,0.856879,0.008416,0.811762,0.009384,0.826411,0.009073,0.768700,0.013711
227,0.852361,0.008539,0.811783,0.009384,0.828798,0.008935,0.767659,0.013747
228,0.857165,0.008363,0.811777,0.009385,0.828250,0.009004,0.767885,0.013692
229,0.855718,0.008439,0.811803,0.009386,0.821237,0.008988,0.767829,0.013538
230,0.857766,0.008297,0.811811,0.009385,0.829710,0.008905,0.745763,0.013991
231,0.858120,0.008377,0.811773,0.009386,0.827327,0.008901,0.768739,0.013804
232,0.855245,0.008370,0.811763,0.009385,0.835199,0.008684,0.767561,0.013746
233,0.856088,0.008445,0.811884,0.009385,0.824766,0.008977,0.781170,0.013359
234,0.856854,0.008368,0.811803,0.009384,0.829019,0.008975,0.765889,0.013755
235,0.856997,0.008349,0.811703,0.009385,0.823718,0.009084,0.769378,0.013809
236,0.852058,0.008459,0.811815,0.009385,0.817444,0.009155,0.763852,0.013681
237,0.850767,0.008434,0.811728,0.009385,0.832991,0.008949,0.760044,0.013966
238,0.852826,0.008414,0.811753,0.009385,0.824471,0.009036,0.765236,0.013748
239,0.859107,0.008311,0.811820,0.009385,0.829572,0.008910,0.774684,0.013616
240,0.853991,0.008518,0.811798,0.009385,0.828111,0.008872,0.772618,0.013549
241,0.855370,0.008431,0.811744,0.009385,0.824880,0.008975,0.766538,0.013749
242,0.852432,0.008470,0.811782,0.009385,0.827487,0.008930,0.768394,0.013765
243,0.854707,0.008401,0.811791,0.009385,0.820500,0.009258,0.769793,0.013530
244,0.853711,0.008425,0.811769,0.009385,0.827472,0.008902,0.772203,0.013671
245,0.854605,0.008454,0.811788,0.009385,0.829199,0.009053,0.759196,0.013890
246,0.860714,0.008368,0.811786,0.009385,0.827987,0.008948,0.765269,0.013748
247,0.854340,0.008455,0.811766,0.009384,0.827304,0.008970,0.756903,0.013947
248,0.858572,0.008318,0.811772,0.009385,0.819017,0.009159,0.761081,0.013882
249,0.852624,0.008435,0.811865,0.009385,0.837958,0.008721,0.773174,0.013739
250,0.853250,0.008465,0.811774,0.009385,0.823064,0.009112,0.754130,0.013937
